name,url,rating,sold_count,currrent_price
"Sữa Chống Nắng Sunplay Cực Mạnh Sunplay Super Block SPF 81, PA++++ (30g)",https://tiki.vn/product-p1313871.html?spid=10862283,5,37788,82500
Kem rửa mặt ngăn ngừa mụn Acnes Creamy Wash (100g),https://tiki.vn/product-p25108217.html?spid=25108218,5,25407,59000
Combo 2 Sữa rửa mặt Simple giúp da sạch thoáng 150mlx2 & Nước tẩy trang Simple 200ml,https://tiki.vn/product-p214101372.html?spid=214101373,5,14793,221000
Bộ đôi Sữa rửa mặt tạo bọt Collagen cho da Khô - Sạch Sâu SENKA PERFECT WHIP COLLAGEN IN 120g,https://tiki.vn/product-p184476147.html?spid=184476148,5,11842,202000
Bộ đôi Sữa rửa mặt tạo bọt cho da mụn chứa Salycilic Acid SENKA PERFECT WHIP ACNE CARE 100g,https://tiki.vn/product-p183554140.html?spid=183554141,5,11497,195000
Combo 2 Lăn Ngăn Mùi NIVEA MEN Silver Protect Phân Tử Bạc Giảm 99.9% Vi Khuẩn Gây Mùi 50ml - 83778,https://tiki.vn/product-p103635800.html?spid=103635801,5,10485,172000
Combo 2 Nước Rửa Tay Lifebuoy Bảo Vệ Vượt Trội 10 Giúp Sạch Khuẩn Và Bảo Vệ Vượt Trội Khỏi 99.9% Vi Khuẩn Tốt Nhất Chai 450g,https://tiki.vn/product-p179980125.html?spid=179980126,5,8878,130000
Thực Phẩm Chức Năng Bảo Vệ Sức Khỏe Giúp Da Sáng Đẹp Và Dạ Dày Khỏe Blossomy Lốc 03 chai x 50ml,https://tiki.vn/product-p10278480.html?spid=10862893,5,7880,134000
Combo 2 Nước rửa tay Lifebuoy bạc bảo vệ túi 400g,https://tiki.vn/product-p93078800.html?spid=93078801,5,7270,101000
Combo 2 Nước Rửa Tay Lifebuoy Chăm Sóc Da Giúp Dưỡng ẩm Mềm Mại Và Bảo Vệ Khỏi 99.9% Vi Khuẩn Trên Tay Chai 450G,https://tiki.vn/product-p179988643.html?spid=179988644,5,6270,124000
