name,url,sold_count,currrent_price
Dầu Gội Chống Gàu Selsun (100ml),https://tiki.vn/product-p632680.html?spid=10862721,143933,86000
Kem rửa mặt Vitamin Acnes Vitamin Cleanser 100g,https://tiki.vn/product-p5902685.html?spid=10863053,52620,59000
Combo Sữa Tắm L'amont En Provence Cherry Blossom Shower Gel Hương Hoa Anh Đào + Hoa Hồng (500ml / Chai),https://tiki.vn/product-p1347157.html?spid=1347159,50825,149000
Dầu Gội Chống Gàu Selsun 50ml,https://tiki.vn/product-p20541866.html?spid=20541867,41130,51000
"Sữa Chống Nắng Sunplay Cực Mạnh Sunplay Super Block SPF 81, PA++++ (30g)",https://tiki.vn/product-p1313871.html?spid=10862283,37788,82500
Sữa Rửa Mặt Tạo Bọt Chiết Xuất Tơ Tằm Trắng Senka Perfect Whip 120g - 14839,https://tiki.vn/product-p568830.html?spid=2895735,28169,87000
Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml [CHÍNH HÃNG ĐỘC QUYỀN],https://tiki.vn/product-p117147635.html?spid=117147636,26504,105000
Combo Dove Phục Hồi Hư Tổn Dầu Gội 640g + Kem Xả 610g,https://tiki.vn/product-p66640235.html?spid=66640236,26387,231000
Kem rửa mặt ngăn ngừa mụn Acnes Creamy Wash (100g),https://tiki.vn/product-p25108217.html?spid=25108218,25407,59000
Khẩu Trang Y Tế TDCare 4 Lớp-Màu Trắng-Hộp 50 Cái,https://tiki.vn/product-p54640942.html?spid=54640943,25175,36000
